"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 13 Biosets for SARS day1 post-infection vs control Lung tissue experiments from six independent studies (GSE19137, GSE23955 , GSE36969,  GSE49262, GSE49263, GSE50000) and five strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV MA15, SARS-CoV MA15g, SARS-CoV MA15e, SARS-CoV TOR2, SARS-CoV Urbani). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.   "		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day1 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option."		
		
Gene	Specificity	Score Ave
Chia	9 out of 13	-53.15953587
Cxcl15	9 out of 13	-50.19150973
Lgi3	9 out of 13	-46.97337723
Bex2	8 out of 13	-46.85468118
Pcbd1	9 out of 13	-46.10289787
Sftpa1	8 out of 13	-45.85850428
Fam82a1	10 out of 13	-45.44057328
S100g	8 out of 13	-43.31997677
Tinag	11 out of 13	-42.83311381
Prrg3	10 out of 13	-42.42689681
Mmp11	10 out of 13	-41.19393061
Lyz2	10 out of 13	-40.92432268
Smtnl2	8 out of 13	-40.74159478
Snhg11	9 out of 13	-39.91056289
Rnase4	11 out of 13	-39.85821266
Kazald1	11 out of 13	-39.58469479
Rprm	9 out of 13	-38.99306358
Napsa	9 out of 13	-38.56036495
Smu1	10 out of 13	-38.45954172
Cebpa	9 out of 13	-38.16610027
Pon1	8 out of 13	-38.09742756
Cyp2f2	8 out of 13	-38.01357148
Vldlr	9 out of 13	-37.97954178
Krt23	7 out of 13	-37.66745547
Adk	11 out of 13	-37.38292588
Mfap3l	9 out of 13	-36.8096856
Krtap17-1	6 out of 13	-36.13223841
Pla2g1b	8 out of 13	-36.12119921
Tril	8 out of 13	-36.01722057
Cst8	8 out of 13	-35.90937035
Gstm3	8 out of 13	-35.81597027
D630004D15Rik	8 out of 13	-35.72176665
Bcan	9 out of 13	-35.0721611
Sftpb	7 out of 13	-34.98982322
Oxld1	11 out of 13	-34.92514855
Gmnn	9 out of 13	-34.74167648
Ociad2	7 out of 13	-34.7295192
Nrn1	7 out of 13	-34.45204719
Aass	7 out of 13	-34.306983
Hc	7 out of 13	-34.12341055
Bex4	7 out of 13	-33.98466673
Wfdc2	9 out of 13	-33.94218802
Cdh16	7 out of 13	-33.71693059
Idh2	10 out of 13	-33.66315158
Aldoc	10 out of 13	-33.43691158
Ces1e	8 out of 13	-33.30201752
Myh7	8 out of 13	-33.15333581
Scgb3a2	7 out of 13	-33.0911908
Aox3	6 out of 13	-33.03198173
Ap3b1	9 out of 13	-32.9345161
Kcne2	8 out of 13	-32.68302913
Ces1d	8 out of 13	-32.65903814
Tfrc	10 out of 13	-32.34819763
Mgst1	9 out of 13	-32.13010757
Hnmt	7 out of 13	-31.88268177
Slco2b1	9 out of 13	-31.81821258
Amz1	10 out of 13	-31.24198806
Ppp1r14c	8 out of 13	-31.12092406
D630013G24Rik	7 out of 13	-31.03639591
Mtss1	10 out of 13	-30.97210515
Tst	8 out of 13	-30.76969543
Sema4f	7 out of 13	-30.75126226
Anpep	8 out of 13	-30.73659648
Rgs2	9 out of 13	-30.73409262
D430019H16Rik	7 out of 13	-30.42256316
Plekha6	8 out of 13	-29.99610064
Ptgr1	8 out of 13	-29.80673355
Tspyl4	8 out of 13	-29.71535422
Cbx2	8 out of 13	-29.61485683
Zfp395	8 out of 13	-29.49259118
Lrrn3	7 out of 13	-29.43328229
BC017158	10 out of 13	-29.40897629
Muc1	8 out of 13	-29.34067983
Tpcn1	8 out of 13	-29.08217452
Pon3	8 out of 13	-29.0057279
Fzd7	10 out of 13	-28.92351912
Mamdc2	8 out of 13	-28.85274548
