"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day4 post-infection vs control Lung tissue experiments from twelve independent studies (GSE23955, GSE36969, GSE40824, GSE40827, GSE49262, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE64661, GSE68820) and four strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV Urbani, SARS-CoV MA15). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata."		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day4 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."		
		
Gene	Specificity	Score Ave
Saa1	12 out of 15	79.55748682
Apod	14 out of 15	74.17636031
Pla1a	12 out of 15	74.00265214
Saa3	11 out of 15	73.19712768
Slfn4	11 out of 15	71.60587681
Fcgr1	11 out of 15	71.23380467
Il18bp	13 out of 15	70.84412832
Il6	12 out of 15	70.55285998
Oas3	11 out of 15	70.21633586
BC117090	12 out of 15	70.15977391
Chit1	11 out of 15	69.70050952
Irf7	12 out of 15	69.41835932
Cfb	11 out of 15	69.33081759
Oas1a	11 out of 15	68.94747248
Oas1f	11 out of 15	68.77582383
Ifi205	11 out of 15	68.67188314
Ms4a7	11 out of 15	68.38905972
Apol9b	11 out of 15	68.00995011
AI607873	11 out of 15	67.70033289
Mx1	11 out of 15	67.41070416
Ifit1	12 out of 15	67.36888121
Ifi44	11 out of 15	66.96928535
Cxcl10	12 out of 15	66.33900533
Timp1	10 out of 15	65.92605639
Saa2	10 out of 15	65.77548879
Vcan	13 out of 15	65.68036333
Saa-ps	10 out of 15	65.6083882
Oasl1	11 out of 15	64.67011128
Ccl12	10 out of 15	64.52444308
Uhrf1	11 out of 15	64.50409882
Ccl7	12 out of 15	64.29656419
Ifi204	11 out of 15	64.02806036
Pbk	11 out of 15	63.94829989
Shcbp1	11 out of 15	63.52989294
Cdca3	11 out of 15	63.43256366
ENSMUST00000077110	12 out of 15	63.34280572
Cdca5	11 out of 15	63.01112641
Lgals3bp	12 out of 15	62.75017848
Oas2	12 out of 15	62.60617413
Zbp1	14 out of 15	62.50817708
Ifit3	12 out of 15	62.48601446
Ms4a6d	10 out of 15	62.43968084
Aurka	11 out of 15	62.21546112
Rad51	12 out of 15	62.11563613
Usp18	11 out of 15	61.98192086
Ifi27l2b	10 out of 15	61.82430353
Oasl2	11 out of 15	61.69386343
Serpina3f	10 out of 15	61.48456027
Ccr5	10 out of 15	61.2916354
I830012O16Rik	10 out of 15	61.16449528
Cdk1	12 out of 15	61.0234349
Cdkn3	11 out of 15	60.99270697
Ska1	11 out of 15	60.894225
Dtl	13 out of 15	60.82681634
Cdca8	11 out of 15	60.82408179
C3ar1	10 out of 15	60.40086973
Serpina3n	10 out of 15	60.00716404
Tpx2	11 out of 15	60.0012217
Ccna2	11 out of 15	59.91678481
Slfn3	12 out of 15	59.77037081
Dhx58	11 out of 15	59.7563869
BC100530	11 out of 15	59.72544181
Clec5a	11 out of 15	59.69972671
Tk1	11 out of 15	59.55382365
Phf11	11 out of 15	59.15105218
Gm5483	11 out of 15	59.13081977
A_52_P36591	10 out of 15	59.11310372
Ifnb1	11 out of 15	59.04033064
Rrm2	11 out of 15	58.85844096
Ms4a6c	10 out of 15	58.84371865
Xaf1	11 out of 15	58.62103602
Ms4a4c	11 out of 15	58.61742309
Prc1	11 out of 15	58.54763708
Irg1	9 out of 15	58.50485968
Stfa2	11 out of 15	58.01724676
Cenph	11 out of 15	57.85899147
Plk1	12 out of 15	57.79276649
Syt12	11 out of 15	57.65353001
Top2a	12 out of 15	57.18034599
Ch25h	10 out of 15	57.04358981
Cd72	10 out of 15	57.00731099
Ocstamp	9 out of 15	56.98414979
Sprr1a	9 out of 15	56.95364119
Cenpe	11 out of 15	56.73736878
Cxcl9	9 out of 15	56.7275168
Msr1	9 out of 15	56.65338716
Clhc1	12 out of 15	56.64177938
Slfn9	11 out of 15	56.58988384
D14Ertd668e	10 out of 15	56.45988396
Rsad2	9 out of 15	56.44843339
H2-Q8	11 out of 15	56.44649668
LOC718338	11 out of 15	56.32827333
Car13	10 out of 15	56.29149293
Hist1h2ab	11 out of 15	56.28949751
Trem2	10 out of 15	56.14086923
Cyp7b1	10 out of 15	56.13552922
Lcn2	10 out of 15	56.12124349
Mx2	11 out of 15	56.03498812
Sgol1	11 out of 15	56.03348411
Lair1	12 out of 15	55.90086624
EG667984	10 out of 15	55.81758042
Cenpk	11 out of 15	55.67568126
Il1rn	12 out of 15	55.52359981
Ccnb1	12 out of 15	55.34231556
Ncapg	10 out of 15	55.29670989
Ifi27l2a	12 out of 15	55.25718821
Spag5	11 out of 15	55.22577961
Spc24	11 out of 15	54.96086537
Fam54a	12 out of 15	54.83023098
Siglec1	12 out of 15	54.77120733
Il1r2	9 out of 15	54.6668933
Slc37a2	10 out of 15	54.66147632
Kif20a	10 out of 15	54.27604061
Fignl1	11 out of 15	54.20514946
Herc6	12 out of 15	54.04729372
Fam64a	12 out of 15	54.01365983
Birc5	14 out of 15	53.92689529
Darc	9 out of 15	53.87667067
Itgam	11 out of 15	53.76115129
Stfa2l1	10 out of 15	53.76101173
Serpina3g	10 out of 15	53.71970457
Ccl2	10 out of 15	53.45945726
Mki67	11 out of 15	52.92649028
Stat1	12 out of 15	52.91427046
Serpina3j	10 out of 15	52.75225901
Apol9a	9 out of 15	52.66281299
A_52_P653054	9 out of 15	52.63628746
Igf1	12 out of 15	52.61119109
Nuf2	11 out of 15	52.44082433
Ifit2	11 out of 15	52.35457588
Exo1	10 out of 15	52.20858429
Gins1	12 out of 15	52.00025879
Ccne1	10 out of 15	51.87200401
Mastl	11 out of 15	51.84874788
Isg15	11 out of 15	51.57561416
Ccl4	10 out of 15	51.47051898
Ccl9	11 out of 15	51.37618955
Slfn8	11 out of 15	51.34312582
Slfn1	10 out of 15	51.29363839
Mcm5	11 out of 15	51.28436719
Gdf3	9 out of 15	51.25405619
Cxcl3	10 out of 15	51.23682645
Tnc	11 out of 15	51.16935381
Melk	10 out of 15	51.06819447
Orm1	11 out of 15	50.92113739
Rtp4	11 out of 15	50.90042015
Spc25	10 out of 15	50.8639699
Ckap2	13 out of 15	50.73712353
Mlkl	10 out of 15	50.72543563
Psat1	12 out of 15	50.6583729
Lrrc25	10 out of 15	50.52400354
LOC709172	12 out of 15	50.46094786
Mt2	9 out of 15	50.35198259
Asf1b	10 out of 15	50.33379151
Aif1	14 out of 15	50.1795808
Iigp1	11 out of 15	50.09419478
Apitd1	11 out of 15	50.07440709
Ect2	13 out of 15	49.9431566
Emr1	12 out of 15	49.88641155
Trim30d	11 out of 15	49.80270966
Gatm	10 out of 15	49.78015551
Slc39a14	10 out of 15	49.61274403
Aurkb	12 out of 15	49.56430073
Clec4a2	10 out of 15	49.35588888
Cxcl11	10 out of 15	49.35382482
Slfn10-ps	10 out of 15	49.33483179
Rgs1	10 out of 15	49.24074391
Cep55	11 out of 15	49.15728683
C1qa	10 out of 15	49.14963855
Stat2	14 out of 15	49.02947167
Mmp8	12 out of 15	48.99375268
Phgr1	9 out of 15	48.97772935
Kif18b	11 out of 15	48.83213794
Cenpf	11 out of 15	48.8024622
LOC705809	10 out of 15	48.71848631
Sectm1b	11 out of 15	48.61763963
Orm2	9 out of 15	48.52719299
Iqgap3	13 out of 15	48.51310948
