This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day7 post-infection vs control Lung tissue experiments from ten independent studies (GSE40824, GSE40827, GSE49262, GSE49263, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE68820) and two strains (SARS-CoV MA15, icSARS-CoV). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.



The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day7 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."				
				
Gene	Specificity	Abs Score Sum	Score Sum	Score Ave
Fabp1	10 out of 11	920.3495722	-920.3495722	-83.66814293
Bex2	10 out of 11	860.7159084	-860.7159084	-78.24690077
Scgb1c1	11 out of 11	804.4516785	-804.4516785	-73.13197077
Aox3	11 out of 11	764.4689542	-764.4689542	-69.49717765
Snhg11	10 out of 11	754.6952939	-754.6952939	-68.60866308
Suv420h2	10 out of 11	744.5301314	-744.5301314	-67.6845574
Bex1	10 out of 11	727.6586657	-727.6586657	-66.15078779
Gria1	10 out of 11	725.4558064	-725.4558064	-65.95052785
Pon1	11 out of 11	725.1526195	-725.1526195	-65.92296541
Cst8	9 out of 11	702.2926881	-702.2926881	-63.84478982
Mm.126896	10 out of 11	688.0891627	-688.0891627	-62.55356024
AK050061	10 out of 11	657.1151635	-657.1151635	-59.73774213
Inmt	10 out of 11	652.3816768	-652.3816768	-59.30742516
Ccrl1	10 out of 11	649.9468287	-649.9468287	-59.08607534
Igfbp6	10 out of 11	641.7013306	-641.7013306	-58.3364846
Chrdl1	10 out of 11	634.5257536	-634.5257536	-57.68415942
Igfbp3	11 out of 11	630.6736462	-630.6736462	-57.33396784
Aass	10 out of 11	629.6388906	-629.6388906	-57.23989915
Fmo3	11 out of 11	627.1046684	-627.1046684	-57.00951531
Slc5a12	9 out of 11	622.2139093	-622.2139093	-56.56490084
Ednrb	10 out of 11	620.6794957	-620.6794957	-56.4254087
Bmp6	10 out of 11	619.3034348	-619.3034348	-56.30031225
Esm1	10 out of 11	619.2963272	-619.2963272	-56.29966611
Ces1e	11 out of 11	619.1654914	-619.1654914	-56.28777195
Gm14964	10 out of 11	615.0189777	-615.0189777	-55.91081615
Ltbp4	10 out of 11	609.9011858	-609.9011858	-55.44556235
Hc	10 out of 11	607.3626441	-607.3626441	-55.21478582
Fmo1	10 out of 11	607.051056	-607.051056	-55.18645963
Synm	10 out of 11	602.1164991	-602.1164991	-54.73786355
Gstm1	10 out of 11	601.229273	-601.229273	-54.65720664
Tspan18	11 out of 11	598.1476685	-598.1476685	-54.37706077
Bex4	10 out of 11	596.462115	-596.462115	-54.22382864
Gstm3	10 out of 11	596.1317311	-596.1317311	-54.19379374
Dgkg	11 out of 11	594.8989556	-594.8989556	-54.08172324
Pcolce2	10 out of 11	589.0954231	-589.0954231	-53.55412938
