"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day7 post-infection vs control Lung tissue experiments from ten independent studies (GSE40824, GSE40827, GSE49262, GSE49263, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE68820) and two strains (SARS-CoV MA15, icSARS-CoV). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata."		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day7 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."""		
		
Gene	Specificity	Score Ave
Fabp1	10 out of 11	-83.66814293
Bex2	10 out of 11	-78.24690077
Scgb1c1	11 out of 11	-73.13197077
Aox3	11 out of 11	-69.49717765
Snhg11	10 out of 11	-68.60866308
Suv420h2	10 out of 11	-67.6845574
Bex1	10 out of 11	-66.15078779
Gria1	10 out of 11	-65.95052785
Pon1	11 out of 11	-65.92296541
Cst8	9 out of 11	-63.84478982
Mm.126896	10 out of 11	-62.55356024
AK050061	10 out of 11	-59.73774213
Inmt	10 out of 11	-59.30742516
Ccrl1	10 out of 11	-59.08607534
Igfbp6	10 out of 11	-58.3364846
Chrdl1	10 out of 11	-57.68415942
Igfbp3	11 out of 11	-57.33396784
Aass	10 out of 11	-57.23989915
Fmo3	11 out of 11	-57.00951531
Slc5a12	9 out of 11	-56.56490084
Ednrb	10 out of 11	-56.4254087
Bmp6	10 out of 11	-56.30031225
Esm1	10 out of 11	-56.29966611
Ces1e	11 out of 11	-56.28777195
Gm14964	10 out of 11	-55.91081615
Ltbp4	10 out of 11	-55.44556235
Hc	10 out of 11	-55.21478582
Fmo1	10 out of 11	-55.18645963
Synm	10 out of 11	-54.73786355
Gstm1	10 out of 11	-54.65720664
Tspan18	11 out of 11	-54.37706077
Bex4	10 out of 11	-54.22382864
Gstm3	10 out of 11	-54.19379374
Dgkg	11 out of 11	-54.08172324
Pcolce2	10 out of 11	-53.55412938
Pcdha6	11 out of 11	-53.20642376
D630013G24Rik	10 out of 11	-52.7490014
Gprasp2	10 out of 11	-51.22058594
Kcna6	11 out of 11	-51.1571129
Cytl1	10 out of 11	-51.04508834
9530026P05Rik	10 out of 11	-50.68247611
Dbp	9 out of 11	-50.65083302
Cyp3a13	11 out of 11	-50.52924873
2410066E13Rik	10 out of 11	-50.50408205
Clec14a	11 out of 11	-50.48827351
Cdh16	10 out of 11	-50.45747202
Fibin	10 out of 11	-50.38887698
Nrn1	9 out of 11	-50.24523033
Asgr1	11 out of 11	-49.83962019
Nr1d1	11 out of 11	-49.78208944
Dixdc1	10 out of 11	-49.71586999
Sox11	10 out of 11	-49.66793633
Cyp4b1	10 out of 11	-49.30927723
Tnxb	11 out of 11	-49.22017381
Mb	8 out of 11	-49.05574877
Atp6v1c2	10 out of 11	-48.93873319
Gsta3	10 out of 11	-48.90923146
Lrat	8 out of 11	-48.88644647
Lgi3	10 out of 11	-48.78956132
Mgl2	10 out of 11	-48.45865603
Mesp1	10 out of 11	-48.21878962
Cidec	9 out of 11	-48.14490486
Pcdha9	10 out of 11	-47.91112843
Krt23	10 out of 11	-47.4808107
Cyp2a5	9 out of 11	-47.40431467
Cox8b	9 out of 11	-47.37341944
Sema6a	11 out of 11	-47.33715038
Synpo2	11 out of 11	-47.32274663
Klf15	10 out of 11	-47.23605677
1810010H24Rik	10 out of 11	-47.19919099
Mapt	10 out of 11	-47.13603769
Prelp	10 out of 11	-46.97273444
Clec12b	9 out of 11	-46.89054798
4922501L14Rik	11 out of 11	-46.85056016
Mm.385171	10 out of 11	-46.65391363
Hes2	10 out of 11	-46.62765528
Mettl7a1	10 out of 11	-46.29070676
Tppp3	10 out of 11	-46.26256416
Faim2	10 out of 11	-46.10723264
Sftpa1	10 out of 11	-45.88360335
Acoxl	8 out of 11	-45.73175474
Arhgef38	10 out of 11	-45.62844405
Cd300lg	10 out of 11	-45.28298794
Rbp4	10 out of 11	-45.25062042
Galntl2	10 out of 11	-45.21272088
Slc7a10	8 out of 11	-44.86863772
Sec14l4	10 out of 11	-44.71209718
Cys1	10 out of 11	-44.33214798
Cyp2d22	10 out of 11	-44.21771928
Myh7	10 out of 11	-44.20302098
Rab6b	10 out of 11	-44.1778632
Tmem100	10 out of 11	-44.14008782
Aoc3	10 out of 11	-44.00440228
Cyp2f2	10 out of 11	-43.94064774
Hepacam2	10 out of 11	-43.83181503
Cyp2a4	8 out of 11	-43.80078054
5330417C22Rik	10 out of 11	-43.70346673
Glt25d2	10 out of 11	-43.50870585
Tril	9 out of 11	-43.31665163
Ephx1	10 out of 11	-43.26476636
Cd209b	9 out of 11	-43.2522633
Hlf	10 out of 11	-43.24293825
Tppp	11 out of 11	-43.13825351
Aldh6a1	11 out of 11	-42.83460039
D630004D15Rik	10 out of 11	-42.79001463
Mcf2l	10 out of 11	-42.74999382
Plin4	9 out of 11	-42.72857236
Epas1	10 out of 11	-42.70527164
Sln	9 out of 11	-42.50267756
1500035N22Rik	11 out of 11	-42.43702223
Chst8	10 out of 11	-42.35537355
Abi3bp	10 out of 11	-42.29019082
Hamp	8 out of 11	-42.26013089
Itga8	10 out of 11	-42.19465112
Smad6	10 out of 11	-42.10893475
Car3	8 out of 11	-41.9837201
Akap5	11 out of 11	-41.86138526
Ptpru	11 out of 11	-41.8595059
Hey1	10 out of 11	-41.74218891
Bmpr2	11 out of 11	-41.72690859
Fgfbp1	10 out of 11	-41.69346315
Pde8b	10 out of 11	-41.67422025
Bpifb5	10 out of 11	-41.56740215
Krt79	8 out of 11	-41.52252866
AK028495	10 out of 11	-41.45645604
Ces2b	9 out of 11	-41.45574551
Cnn1	11 out of 11	-41.38805201
Tmeff2	10 out of 11	-41.36659267
Plekhb1	10 out of 11	-41.35751107
Ear11	10 out of 11	-41.35684767
Ccdc129	10 out of 11	-41.30513416
Ptgfr	10 out of 11	-41.25973965
Svip	11 out of 11	-41.25761776
Tbc1d30	10 out of 11	-41.23378166
Grem2	10 out of 11	-41.20094042
Mm.120885	11 out of 11	-41.17502351
G0s2	10 out of 11	-40.97243531
Slc38a4	10 out of 11	-40.625305
Lepr	10 out of 11	-40.4740641
Cyp4f15	10 out of 11	-40.33362308
Vpreb3	10 out of 11	-40.06690398
Olfr1362	9 out of 11	-40.02066835
Fbxo30	11 out of 11	-40.00725805
Ppp1r9a	10 out of 11	-39.90426813
9530083O12Rik	10 out of 11	-39.65418926
Hpgd	10 out of 11	-39.59306617
Ces1f	8 out of 11	-39.52747537
Efnb2	10 out of 11	-39.50150882
Cpne5	10 out of 11	-39.49744304
Ear1	9 out of 11	-39.48374913
Thbd	11 out of 11	-39.46883506
Gm1337	9 out of 11	-39.35819831
1110012J17Rik	10 out of 11	-39.3267001
Dnahc6	10 out of 11	-39.30156159
Tns1	11 out of 11	-38.9172088
Ccl17	7 out of 11	-38.84373218
Abca8a	10 out of 11	-38.72684358
Grb14	11 out of 11	-38.69710715
Tspan7	10 out of 11	-38.69450643
Ptprb	10 out of 11	-38.65120774
Gpr116	10 out of 11	-38.56008649
Dgat2	10 out of 11	-38.44195129
Slc4a5	10 out of 11	-38.43644543
Fam13a	10 out of 11	-38.38965047
Gsta1	9 out of 11	-38.32956551
Vtn	10 out of 11	-38.32613449
Hs3st1	9 out of 11	-38.31082741
Lrrn3	10 out of 11	-38.19409296
Plvap	10 out of 11	-38.18345761
Mamdc2	10 out of 11	-38.10107904
Fn3k	10 out of 11	-38.0926432
Aldh2	10 out of 11	-37.83795119
Dnahc5	11 out of 11	-37.82940586
Rasgef1a	10 out of 11	-37.79407082
N28178	10 out of 11	-37.71229027
2010001K21Rik	10 out of 11	-37.66516739
Tinag	10 out of 11	-37.60042563
A_52_P764117	11 out of 11	-37.53067288
Tef	9 out of 11	-37.52983014
Cbx7	10 out of 11	-37.47126097
Cd207	9 out of 11	-37.45990873
Aldh1a1	10 out of 11	-37.455192
Ace2	10 out of 11	-37.4198501
Gpr155	10 out of 11	-37.4000581
Lphn3	11 out of 11	-37.3415703
Kcne2	9 out of 11	-37.33914872
Lpar3	10 out of 11	-37.26145885
Slc6a4	10 out of 11	-37.193751
Gpt	10 out of 11	-37.19211789
Gsta2	9 out of 11	-37.08085894
Cyp2b13	10 out of 11	-36.9753469
Kank4	10 out of 11	-36.87800475
Neurog1	8 out of 11	-36.87642979
Sftpb	10 out of 11	-36.81267722
Tmcc3	11 out of 11	-36.77871046
Prickle2	11 out of 11	-36.75173724
Mettl7a2	9 out of 11	-36.75041873
Tek	10 out of 11	-36.70679241
Slc16a11	9 out of 11	-36.58240317
Gprasp1	10 out of 11	-36.44383427
Car8	10 out of 11	-36.44123305
Dock9	10 out of 11	-36.43624011
Omd	10 out of 11	-36.38787992
S100g	9 out of 11	-36.27711066
Ttn	11 out of 11	-36.16689305
Ssr1	10 out of 11	-36.03539248
Pde4d	10 out of 11	-35.91719005
6720401G13Rik	10 out of 11	-35.86985898
Cyp2b9	10 out of 11	-35.78119026
Tmem204	10 out of 11	-35.7332722
A_51_P305138	10 out of 11	-35.72073165
Agtr1a	11 out of 11	-35.68952548
Hmgcs2	10 out of 11	-35.65488313
Zrsr1	10 out of 11	-35.65249168
Pllp	11 out of 11	-35.45021984
Acvrl1	10 out of 11	-35.41808059
Prdm8	9 out of 11	-35.18338302
Ear10	9 out of 11	-35.16167182
Slc16a9	11 out of 11	-35.12232927
B930063P07Rik	10 out of 11	-35.10930434
Angpt2	11 out of 11	-35.09401455
Cyp2b10	10 out of 11	-35.06849319
Rnase4	10 out of 11	-35.0203742
Ppl	10 out of 11	-34.98240977
Ppp1r14c	10 out of 11	-34.96474845
Kcna1	10 out of 11	-34.94594404
Akr1b7	11 out of 11	-34.83426977
A_52_P226407	10 out of 11	-34.7803058
Ear3	9 out of 11	-34.75062013
4933436C20Rik	10 out of 11	-34.59656197
Sult1d1	8 out of 11	-34.58240164
1110051M20Rik	10 out of 11	-34.54710144
Mm.381719	8 out of 11	-34.52769734
Ccdc85a	10 out of 11	-34.48585947
Reck	10 out of 11	-34.42320386
5930430L01Rik	10 out of 11	-34.33304076
Clec4g	10 out of 11	-34.31915548
Olfml2a	10 out of 11	-34.25642974
Cat	9 out of 11	-34.12756492
Cldn8	10 out of 11	-33.99000589
Txnip	10 out of 11	-33.93917318
Calml4	11 out of 11	-33.8540945
Wnt10b	9 out of 11	-33.74987394
Plekha6	9 out of 11	-33.73130899
Gkn3	10 out of 11	-33.70097623
Gid4	10 out of 11	-33.59946304
Id4	11 out of 11	-33.59897159
Prkcz	10 out of 11	-33.50387715
Adcy8	10 out of 11	-33.4812261
Klhl24	10 out of 11	-33.45667811
Npr3	10 out of 11	-33.41543518
Tfcp2l1	10 out of 11	-33.34921376
Prickle1	10 out of 11	-33.26778465
Irs1	10 out of 11	-33.25524331
Pcp4l1	10 out of 11	-33.17520323
Gm17739	10 out of 11	-33.16611065
Kdr	10 out of 11	-33.11764354
Tspan2	10 out of 11	-33.04148124
ENSMUSG00000023461	11 out of 11	-33.03845701
Chchd10	10 out of 11	-32.89318195
Plekhd1	9 out of 11	-32.79663347
Sik1	10 out of 11	-32.79430215
Zfp641	10 out of 11	-32.73126204
Adam33	11 out of 11	-32.72853051
Nr3c2	10 out of 11	-32.68566289
Iqca	10 out of 11	-32.6533992
D830026I12Rik	11 out of 11	-32.60066151
Tle2	10 out of 11	-32.58472705
Maob	10 out of 11	-32.52984616
Pdzd2	10 out of 11	-32.50032893
A_52_P25357	10 out of 11	-32.48987114
Tspan12	9 out of 11	-32.47310766
Ces1g	9 out of 11	-32.46053823
Scn5a	10 out of 11	-32.44433338
Gm106	10 out of 11	-32.41529149
Cyp2d9	10 out of 11	-32.40739412
AK036012	10 out of 11	-32.39580442
Ramp2	10 out of 11	-32.37740961
Cpm	8 out of 11	-32.35641245
AK082620	8 out of 11	-32.29261895
Zfp704	10 out of 11	-32.28167705
Tenc1	9 out of 11	-32.26796873
Epb4.1l5	10 out of 11	-32.22659175
Pclo	10 out of 11	-32.17642568
Gdf1	10 out of 11	-32.17325364
Tspan13	10 out of 11	-32.12498046
Foxa1	10 out of 11	-32.09295216
Mlxipl	10 out of 11	-32.06122447
Sord	10 out of 11	-32.0284675
Hecw2	10 out of 11	-31.99870936
C030014L02	10 out of 11	-31.99450996
Fmo5	10 out of 11	-31.9196503
432575	10 out of 11	-31.9135163
Wscd1	9 out of 11	-31.90324965
Aox1	10 out of 11	-31.81786422
Ak7	10 out of 11	-31.81648311
Sepp1	10 out of 11	-31.76350295
Ppm1a	10 out of 11	-31.75681315
Slc12a5	9 out of 11	-31.75541052
Rnf186	10 out of 11	-31.74343001
A_52_P158095	8 out of 11	-31.68951593
Inadl	10 out of 11	-31.65395057
Hrasls	10 out of 11	-31.64601012
Ces1d	10 out of 11	-31.62174907
Sox18	8 out of 11	-31.53597967
Spnb2	10 out of 11	-31.49123157
Txnrd3	10 out of 11	-31.48994455
Fmo2	9 out of 11	-31.42293251
Rtkn2	10 out of 11	-31.34195793
Mug2	9 out of 11	-31.31135256
Ank3	10 out of 11	-31.29612303
Kank3	10 out of 11	-31.257975
Por	10 out of 11	-31.19338267
D4Bwg0951e	10 out of 11	-31.12532325
Bambi	10 out of 11	-31.1168369
Tox3	10 out of 11	-31.11405216
Fhdc1	10 out of 11	-31.09766125
Ncald	11 out of 11	-31.01595728
Dusp26	9 out of 11	-31.00818224
Faim3	7 out of 11	-30.98602868
Fam178b	10 out of 11	-30.93237936
E030046B03Rik	10 out of 11	-30.91943586
Dll4	10 out of 11	-30.91667548
Ldhb	10 out of 11	-30.90246038
Tbx3	10 out of 11	-30.83889957
Ndrg2	10 out of 11	-30.83320684
Fabp12	8 out of 11	-30.82363908
Mm.380917	9 out of 11	-30.81552944
Sgip1	10 out of 11	-30.76573972
Camk2n1	10 out of 11	-30.74743298
Chst3	8 out of 11	-30.74075347
Slc34a2	9 out of 11	-30.7226122
Rap1gap	10 out of 11	-30.70309541
Fgfr3	10 out of 11	-30.63863505
